Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, ,
1942,British Columbia,FRASER VALLEY WEST,Trevor ARMSTRONG Progressive Conservative,labourer,14863,31.21,,
1942,British Columbia,FRASER VALLEY WEST,Oscar AUSTRING Liberal,businessman,9870,20.73,,
1942,British Columbia,FRASER VALLEY WEST,Dave Charles KANE Independent,self-employed,275,0.58,,
1942,British Columbia,KAMLOOPS--CARIBOO,Leonard S. MARCHAND Liberal,agriculturalist,14707,35.19,,
1942,British Columbia,KAMLOOPS--CARIBOO,Roy HEWSON Progressive Conservative,physician and surgeon,13993,33.48,,
1942,British Columbia,KAMLOOPS--CARIBOO,John FARR New Democratic Party,educational T.V. co-ordinator,11002,26.33,,
1942,British Columbia,KAMLOOPS--CARIBOO,Peter R. GOOK Social Credit Party of Canada,notary public,2089,5,,
1942,British Columbia,KOOTENAY WEST,Randolph HARDING New Democratic Party,teacher,15633,53.57,,
1942,British Columbia,KOOTENAY WEST,Bob BRISCO Progressive Conservative,chiropractor,9210,31.56,,
1942,British Columbia,KOOTENAY WEST,Paul G. MOROSO Liberal,public accountant,4341,14.87,,
1942,British Columbia,NANAIMO--COWICHAN--THE ISLANDS,T.C. Tommy DOUGLAS New Democratic Party,minister,25483,56.93,,
1942,British Columbia,NANAIMO--COWICHAN--THE ISLANDS,George MACPHERSON Progressive Conservative,senior instructor,10179,22.74,,
1942,British Columbia,NANAIMO--COWICHAN--THE ISLANDS,Bill MATTHEWS Liberal,farmer,7107,15.88,,
1942,British Columbia,NANAIMO--COWICHAN--THE ISLANDS,Stockwell DAY Social Credit Party of Canada,"fisherman, professor",1868,4.17,,
1942,British Columbia,NANAIMO--COWICHAN--THE ISLANDS,Ken HASANEN No affiliation to a recognised party,social science,125,0.28,,
1942,British Columbia,NEW WESTMINSTER,Stuart Malcolm LEGGATT New Democratic Party,lawyer,19181,41.6,,
1942,British Columbia,NEW WESTMINSTER,Maurice MULLIGAN Progressive Conservative,barrister,14739,31.96,,
1942,British Columbia,NEW WESTMINSTER,Greg BASHAM Liberal,urban planner,10992,23.84,,
1942,British Columbia,NEW WESTMINSTER,Ted ADLEM Social Credit Party of Canada,dry cleaner,971,2.11,,
1942,British Columbia,NEW WESTMINSTER,Rod DORAN No affiliation to a recognised party,longshoreman,192,0.42,,
1942,British Columbia,NEW WESTMINSTER,Victor REID No affiliation to a recognised party,automotive shop manager,36,0.08,,
1942,British Columbia,OKANAGAN BOUNDARY,George H. WHITTAKER Progressive Conservative,fruit farmer,20468,42.49,,
1942,British Columbia,OKANAGAN BOUNDARY,Bruce HOWARD Liberal,realtor,14213,29.51,,
1942,British Columbia,OKANAGAN BOUNDARY,Bryan MCIVER New Democratic Party,political organizer,13487,28,,
1942,British Columbia,OKANAGAN--KOOTENAY,Doug STEWART Liberal,lawyer,12416,32.73,,
1942,British Columbia,OKANAGAN--KOOTENAY,Howard E. JOHNSTON Progressive Conservative,teacher,12258,32.32,,
1942,British Columbia,OKANAGAN--KOOTENAY,Peter MAKSYLEWICH New Democratic Party,contractor,11400,30.06,,
1942,British Columbia,OKANAGAN--KOOTENAY,Agner Dahl JENSEN Social Credit Party of Canada,mechanic,1855,4.89,,
1942,British Columbia,PRINCE GEORGE--PEACE RIVER,Frank OBERLE Progressive Conservative,businessman,14648,39.36,,
1942,British Columbia,PRINCE GEORGE--PEACE RIVER,Bob BORRIE Liberal,manager,11766,31.62,,
1942,British Columbia,PRINCE GEORGE--PEACE RIVER,Bill CLOSE New Democratic Party,storekeeper,8076,21.7,,
1942,British Columbia,PRINCE GEORGE--PEACE RIVER,Al KRUEGAR Social Credit Party of Canada,farmer,2726,7.32,,
1942,British Columbia,SKEENA,Frank HOWARD New Democratic Party,logger,13100,47.77,,
1942,British Columbia,SKEENA,Everett STEVENS Progressive Conservative,merchant,8234,30.02,,
1942,British Columbia,SKEENA,John E. MITCHELL Liberal,industrial designer,6091,22.21,,
1942,British Columbia,SURREY--WHITE ROCK,Barry MATHER New Democratic Party,newspaperman,21598,47.4,,
1942,British Columbia,SURREY--WHITE ROCK,Robert N. THOMPSON Progressive Conservative,educator,15123,33.19,,
1942,British Columbia,SURREY--WHITE ROCK,Ed CARLIN Liberal,school administrator,7819,17.16,,
1942,British Columbia,SURREY--WHITE ROCK,Ben SCHROEDER Social Credit Party of Canada,janitor,1030,2.26,,
1942,British Columbia,VANCOUVER CENTRE,Ron BASFORD Liberal,lawyer,19341,41.35,,
1942,British Columbia,VANCOUVER CENTRE,John MCDONALD Progressive Conservative,lawyer,14156,30.26,,
1942,British Columbia,VANCOUVER CENTRE,Ron K. JOHNSON New Democratic Party,communications officer,12470,26.66,,
1942,British Columbia,VANCOUVER CENTRE,Nicholas ZAMBUS Social Credit Party of Canada,realtor,632,1.35,,
1942,British Columbia,VANCOUVER CENTRE,Arnold AUGUST No affiliation to a recognised party,labourer,77,0.16,,
1942,British Columbia,VANCOUVER CENTRE,Ray DODGE Independent,truck driver,55,0.12,,
1942,British Columbia,VANCOUVER CENTRE,Daniel Ivan FEDORUK No affiliation to a recognised party,restaurant worker,46,0.1,,
1942,British Columbia,VANCOUVER EAST,C. Paddy NEALE New Democratic Party,secretary treasurer,13525,48.81,,
1942,British Columbia,VANCOUVER EAST,John MINICHIELLO Liberal,teacher,8687,31.35,,
1942,British Columbia,VANCOUVER EAST,John G. BALAN Progressive Conservative,salesman,4584,16.54,,
1942,British Columbia,VANCOUVER EAST,Walter STUNDER Social Credit Party of Canada,manager,613,2.21,,
1942,British Columbia,VANCOUVER EAST,Maurice RUSH No affiliation to a recognised party,editor,206,0.74,,
1942,British Columbia,VANCOUVER EAST,Ian R. HYMAN No affiliation to a recognised party,labourer,92,0.33,,
1942,British Columbia,VANCOUVER KINGSWAY,Grace MACINNIS New Democratic Party,writer,18108,56.81,,
1942,British Columbia,VANCOUVER KINGSWAY,John A. CHERRINGTON Progressive Conservative,writer,6752,21.18,,
1942,British Columbia,VANCOUVER KINGSWAY,Ed BODNARCHUK Liberal,property management,5986,18.78,,
1942,British Columbia,VANCOUVER KINGSWAY,Faren GARNER Social Credit Party of Canada,drywall contractor,750,2.35,,
1942,British Columbia,VANCOUVER KINGSWAY,William John TURNER No affiliation to a recognised party,electrician,211,0.66,,
1942,British Columbia,VANCOUVER KINGSWAY,Claire ALSTON No affiliation to a recognised party,pulp and paper worker,66,0.21,,
1942,British Columbia,VANCOUVER QUADRA,Bill CLARKE Progressive Conservative,chartered accountant,17767,42.57,,
1942,British Columbia,VANCOUVER QUADRA,Grant DEACHMAN Liberal,public relations consultant,15001,35.94,,
1942,British Columbia,VANCOUVER QUADRA,Nigel NIXON New Democratic Party,probation supervisor,8411,20.15,,
1942,British Columbia,VANCOUVER QUADRA,Edith GARNER Social Credit Party of Canada,financial consultant,378,0.91,,
1942,British Columbia,VANCOUVER QUADRA,Rupert BEEBE Independent,businessman,180,0.43,,
1942,British Columbia,VANCOUVER SOUTH,John A. FRASER Progressive Conservative,barrister,17762,40.03,,
1942,British Columbia,VANCOUVER SOUTH,Gordon GIBSON Liberal,executive,14549,32.79,,
1942,British Columbia,VANCOUVER SOUTH,Roger HOWARD New Democratic Party,associate professor,11145,25.12,,
1942,British Columbia,VANCOUVER SOUTH,Tony JEFFERSON Social Credit Party of Canada,contractor,765,1.72,,
1942,British Columbia,VANCOUVER SOUTH,Sean GRIFFIN No affiliation to a recognised party,boilermaker,102,0.23,,
1942,British Columbia,VANCOUVER SOUTH,Rick HUNDAL No affiliation to a recognised party,taxi driver,44,0.1,,
1942,British Columbia,VICTORIA,Allan B. MCKINNON Progressive Conservative,educator,22842,47.48,,
1942,British Columbia,VICTORIA,David GROOS Liberal,retired naval officer,12264,25.49,,
1942,British Columbia,VICTORIA,Flemming HANSEN New Democratic Party,student,11192,23.26,,
1942,British Columbia,VICTORIA,Clifford E. STRETCH Social Credit Party of Canada,realtor,1173,2.44,,
1942,British Columbia,VICTORIA,Daniel Lewis HEFFERNAN Independent,student,357,0.74,,
1942,British Columbia,VICTORIA,Michael Charles HALL-PATCH No affiliation to a recognised party,writer,280,0.58,,
1942,Manitoba,BRANDON--SOURIS,Walter DINSDALE Progressive Conservative,teacher,17923,60.59,,
1942,Manitoba,BRANDON--SOURIS,Gary BELECKI Liberal,lawyer,5968,20.17,,
1942,Manitoba,BRANDON--SOURIS,Kenneth John SINGLETON New Democratic Party,farmer,5501,18.6,,
1942,Manitoba,BRANDON--SOURIS,William LEA Independent,retired disability pensioner,190,0.64,,
1942,Manitoba,CHURCHILL,Keith TAYLOR Progressive Conservative,lawyer,9462,34.55,,
1942,Manitoba,CHURCHILL,Don DUFF New Democratic Party,clergyman,9059,33.08,,
1942,Manitoba,CHURCHILL,Bruce DUNLOP Liberal,consulting geologist,8536,31.17,,
1942,Manitoba,CHURCHILL,R. Jim HENRY Independent,technocrat,327,1.19,,
1942,Manitoba,DAUPHIN,Gordon RITCHIE Progressive Conservative,physician and surgeon,12584,54.42,,
1942,Manitoba,DAUPHIN,Bernhard DIRAUF New Democratic Party,agriculturist,6234,26.96,,
1942,Manitoba,DAUPHIN,Ferdinand A. GUIBOCHE Liberal,general merchant,4305,18.62,,
1942,Manitoba,LISGAR,Jack B. MURTA Progressive Conservative,farmer,17253,71.02,,
1942,Manitoba,LISGAR,Richard S. BOWLES Liberal,businessman,4469,18.4,,
1942,Manitoba,LISGAR,John M. BUCKLASCHUK New Democratic Party,educator,1627,6.7,,
1942,Manitoba,LISGAR,John L. HARMS Social Credit Party of Canada,farmer,943,3.88,,
1942,Manitoba,MARQUETTE,Craig STEWART Progressive Conservative,automobile dealer,16155,63,,
1942,Manitoba,MARQUETTE,Ken HOUSTON New Democratic Party,clergyman,4917,19.17,,
1942,Manitoba,MARQUETTE,Sidney N. LACHTER Liberal,lawyer,4572,17.83,,
1942,Manitoba,PORTAGE,Peter P. MASNIUK Progressive Conservative,section foreman,9781,45.51,,
1942,Manitoba,PORTAGE,Gerry COBBE Liberal,mechanical contractor,7474,34.78,,
1942,Manitoba,PORTAGE,Nick MANCHUR New Democratic Party,farmer and insurance agent,4036,18.78,,
1942,Manitoba,PORTAGE,Travis I. FITCH No affiliation to a recognised party,salesman,199,0.93,,
1942,Manitoba,PROVENCHER,Jake EPP Progressive Conservative,teacher,11262,45.34,,
1943,Manitoba,PROVENCHER,Mark SMERCHANSKI Liberal,mining geologist,6489,26.12,,
1943,Manitoba,PROVENCHER,Alf CHORNEY New Democratic Party,agricultural co-ordinator,6304,25.38,,
1943,Manitoba,PROVENCHER,Jake WALL Social Credit Party of Canada,farmer,784,3.16,,
1943,Manitoba,SELKIRK,Doug ROWLAND New Democratic Party,university lecturer,17872,39.86,,
1943,Manitoba,SELKIRK,Dean WHITEWAY Progressive Conservative,teacher,17842,39.79,,
1943,Manitoba,SELKIRK,Svein SIGFUSSON Liberal,contractor,8709,19.42,,
1943,Manitoba,SELKIRK,Robert LUINING Social Credit Party of Canada,manager,418,0.93,,
1943,Manitoba,ST. BONIFACE,Joseph-P. GUAY Liberal,retail merchant,22200,44.42,,
1943,Manitoba,ST. BONIFACE,Joseph F. SHERWOOD New Democratic Party,lawyer,13857,27.73,,
1943,Manitoba,ST. BONIFACE,Peter HILLCOFF Progressive Conservative,salesman,13033,26.08,,
1943,Manitoba,ST. BONIFACE,Gilles J. OUELLET Social Credit Party of Canada,purchasing agent,643,1.29,,
1943,Manitoba,ST. BONIFACE,Russ MALEY No affiliation to a recognised party,retired,241,0.48,,
1943,Manitoba,WINNIPEG NORTH,David ORLIKOW New Democratic Party,pharmacist,15931,42.79,,
1943,Manitoba,WINNIPEG NORTH,Serge RADCHUK Liberal,barrister-at-law,11150,29.95,,
1943,Manitoba,WINNIPEG NORTH,Anne STEEN Progressive Conservative,office manager,9446,25.37,,
1943,Manitoba,WINNIPEG NORTH,W.C. ROSS No affiliation to a recognised party,secretary,587,1.58,,
1943,Manitoba,WINNIPEG NORTH,C. Aili WALDMAN No affiliation to a recognised party,taxi operator,114,0.31,,
1943,Manitoba,WINNIPEG NORTH CENTRE,Stanley H. KNOWLES New Democratic Party,minister and printer,13263,47.27,,
1943,Manitoba,WINNIPEG NORTH CENTRE,Frank W. CROCKETT Progressive Conservative,public relations consultant,7050,25.13,,
1943,Manitoba,WINNIPEG NORTH CENTRE,Norman Frederick TURNER Liberal,sales representative,6984,24.89,,
1943,Manitoba,WINNIPEG NORTH CENTRE,Don HAWRYLUK Social Credit Party of Canada,accountant,440,1.57,,
1943,Manitoba,WINNIPEG NORTH CENTRE,Don CURRIE No affiliation to a recognised party,organizer,186,0.66,,
1943,Manitoba,WINNIPEG NORTH CENTRE,Barry John CARLSON No affiliation to a recognised party,labourer,134,0.48,,
1943,Manitoba,WINNIPEG SOUTH,James RICHARDSON Liberal,Minister of Supply and Services,25534,50.89,,
1943,Manitoba,WINNIPEG SOUTH,Boyd ROBERTSON Progressive Conservative,bank development officer,17022,33.93,,
1943,Manitoba,WINNIPEG SOUTH,James Gilbert BURROWS New Democratic Party,educational administrator,7413,14.77,,
1943,Manitoba,WINNIPEG SOUTH,Diane Lynne WALDMAN No affiliation to a recognised party,student,205,0.41,,
1943,Manitoba,WINNIPEG SOUTH CENTRE,Dan MCKENZIE Progressive Conservative,telephone foreman,25550,45.2,,
1943,Manitoba,WINNIPEG SOUTH CENTRE,E.B. OSLER Liberal,executive and writer,20516,36.29,,
1943,Manitoba,WINNIPEG SOUTH CENTRE,Harvey H. MOATS New Democratic Party,executive,10460,18.5,,
1943,New Brunswick,CARLETON--CHARLOTTE,Fred A. MCCAIN Progressive Conservative,farmer,14431,60.19,,
1943,New Brunswick,CARLETON--CHARLOTTE,Donald HINTON Liberal,managing editor,7715,32.18,,
1943,New Brunswick,CARLETON--CHARLOTTE,R. Lawrence BRIGHT New Democratic Party,carman,1831,7.64,,
1943,New Brunswick,FUNDY--ROYAL,Gordon FAIRWEATHER Progressive Conservative,lawyer,19107,60.52,,
1943,New Brunswick,FUNDY--ROYAL,Gordon L. PHIPPEN Liberal,consultant,9343,29.59,,
1943,New Brunswick,FUNDY--ROYAL,Bruce E. HALPIN New Democratic Party,paper maker,2186,6.92,,
1943,New Brunswick,FUNDY--ROYAL,Ernest GOWLETT Social Credit Party of Canada,businessman,937,2.97,,
1943,New Brunswick,GLOUCESTER,Herb BREAU Liberal,administrator,14212,50.61,,
1943,New Brunswick,GLOUCESTER,Paul DUVAL Progressive Conservative,manager,6914,24.62,,
1943,New Brunswick,GLOUCESTER,Lomer BASQUE Social Credit Party of Canada,insurance manager,4487,15.98,,
1943,New Brunswick,GLOUCESTER,Percy W. CORMIER No affiliation to a recognised party,merchant,1109,3.95,,
1943,New Brunswick,GLOUCESTER,Mathilda BLANCHARD Independent,trade unionist,839,2.99,,
1943,New Brunswick,GLOUCESTER,Joe CORBIN New Democratic Party,railway worker,521,1.86,,
1943,New Brunswick,MADAWASKA--VICTORIA,Eymard CORBIN Liberal,politician,13104,55.32,,
1943,New Brunswick,MADAWASKA--VICTORIA,Lawrence FYFE Progressive Conservative,industrial relations,8822,37.24,,
1943,New Brunswick,MADAWASKA--VICTORIA,Conrad AUDET New Democratic Party,painter,1763,7.44,,
1943,New Brunswick,MONCTON,Charles H. THOMAS Progressive Conservative,businessman,22657,52.62,,
1943,New Brunswick,MONCTON,Myron MITTON Liberal,barrister-at-law,17124,39.77,,
1943,New Brunswick,MONCTON,Morrie BAUM New Democratic Party,university professor,2003,4.65,,
1943,New Brunswick,MONCTON,Robert M. Bob TAYLOR Social Credit Party of Canada,businessman,1273,2.96,,
1943,New Brunswick,NORTHUMBERLAND--MIRAMICHI,G.A. Percy SMITH Liberal,lawyer,10922,47.25,,
1943,New Brunswick,NORTHUMBERLAND--MIRAMICHI,Robert MCALLISTER Progressive Conservative,contractor,9007,38.97,,
1943,New Brunswick,NORTHUMBERLAND--MIRAMICHI,Ray-J.-A. LEBRETON New Democratic Party,professional salesman,2419,10.47,,
1943,New Brunswick,NORTHUMBERLAND--MIRAMICHI,Joseph GOGUEN Social Credit Party of Canada,merchant,765,3.31,,
1943,New Brunswick,RESTIGOUCHE,Jean-Eudes DUBÉ Liberal,lawyer,11650,48.73,,
1943,New Brunswick,RESTIGOUCHE,Alexander Sandy MACLEAN Progressive Conservative,school principal,5698,23.83,,
1943,New Brunswick,RESTIGOUCHE,Guy LAVIOLETTE Progressive Conservative,assistant manager,5450,22.8,,
1943,New Brunswick,RESTIGOUCHE,Edgar-J. DUGAS New Democratic Party,general contractor,1110,4.64,,
1943,New Brunswick,SAINT JOHN--LANCASTER,Tom BELL Progressive Conservative,lawyer,16350,53.93,,
1943,New Brunswick,SAINT JOHN--LANCASTER,Arthur L. GOULD Liberal,administrator,12783,42.17,,
1943,New Brunswick,SAINT JOHN--LANCASTER,Joe S. DRUMMOND New Democratic Party,retired,788,2.6,,
1943,New Brunswick,SAINT JOHN--LANCASTER,Tom ENRIGHT Social Credit Party of Canada,stevedore,394,1.3,,
1943,New Brunswick,WESTMORLAND--KENT,Roméo-Adrien LEBLANC Liberal,journalist,14747,55.99,,
1943,New Brunswick,WESTMORLAND--KENT,Michel-C. LEGER Progressive Conservative,student-at-law,8107,30.78,,
1943,New Brunswick,WESTMORLAND--KENT,John LA BOSSIÈRE New Democratic Party,teacher,2104,7.99,,
1943,New Brunswick,WESTMORLAND--KENT,Henry L.J. LANDRY Social Credit Party of Canada,public relations,1381,5.24,,
1943,New Brunswick,YORK--SUNBURY,J. Robert HOWIE Progressive Conservative,lawyer,20362,52.97,,
1943,New Brunswick,YORK--SUNBURY,Ray DIXON Liberal,lawyer,14335,37.29,,
1943,New Brunswick,YORK--SUNBURY,Beverley WALLACE New Democratic Party,housewife,3741,9.73,,
1943,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,Dave ROONEY Liberal,teacher,12635,54.91,,
1943,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,Fred WOODMAN Progressive Conservative,business manager,8799,38.24,,
1943,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,Edgar Alexander RUSSELL New Democratic Party,office manager,832,3.62,,
1943,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,Samuel DROVER Independent,general dealer,616,2.68,,
1943,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,S. Carey SKINNER Social Credit Party of Canada,salesman,127,0.55,,
1943,Newfoundland and Labrador,BURIN--BURGEO,Don JAMIESON Liberal,Minister of Transport,13883,73.2,,
1943,Newfoundland and Labrador,BURIN--BURGEO,Max KEEPING Progressive Conservative,journalist,4746,25.03,,
1943,Newfoundland and Labrador,BURIN--BURGEO,Lowell PAULSON New Democratic Party,union representative,336,1.77,,
1943,Newfoundland and Labrador,GANDER--TWILLINGATE,John Howard LUNDRIGAN Progressive Conservative,educator,12420,53.09,,
1943,Newfoundland and Labrador,GANDER--TWILLINGATE,George S. BAKER Liberal,journalist,10396,44.44,,
1943,Newfoundland and Labrador,GANDER--TWILLINGATE,Walwin BLACKMORE New Democratic Party,teacher,577,2.47,,
1943,Newfoundland and Labrador,GRAND FALLS--WHITE BAY--LABRADOR,Bill ROMPKEY Liberal,educator,14274,57.64,,
1943,Newfoundland and Labrador,GRAND FALLS--WHITE BAY--LABRADOR,Ambrose PEDDLE Progressive Conservative,businessman,8968,36.21,,
1943,Newfoundland and Labrador,GRAND FALLS--WHITE BAY--LABRADOR,Earle R. BOONE New Democratic Party,teacher,1523,6.15,,
1943,Newfoundland and Labrador,HUMBER--ST. GEORGE'S--ST. BARBE,Jack MARSHALL Progressive Conservative,businessman,16378,57.99,,
1943,Newfoundland and Labrador,HUMBER--ST. GEORGE'S--ST. BARBE,G.C. Meech MATTHEWS Liberal,senior buyer,10200,36.11,,
1943,Newfoundland and Labrador,HUMBER--ST. GEORGE'S--ST. BARBE,Calvin Morris HILLYARD New Democratic Party,businessman,1666,5.9,,
1943,Newfoundland and Labrador,ST. JOHN'S EAST,James A. MCGRATH Progressive Conservative,sales executive,17728,60.47,,
1943,Newfoundland and Labrador,ST. JOHN'S EAST,Margaret DUNN Liberal,radio and T.V. broadcaster,9887,33.72,,
1943,Newfoundland and Labrador,ST. JOHN'S EAST,R. Graham KELLY New Democratic Party,retired,1563,5.33,,
1943,Newfoundland and Labrador,ST. JOHN'S EAST,Norman W. KING Social Credit Party of Canada,salesman,139,0.47,,
1943,Newfoundland and Labrador,ST. JOHN'S WEST,Walter CARTER Progressive Conservative,director,16818,61.49,,
1943,Newfoundland and Labrador,ST. JOHN'S WEST,David Bruce PORTER Liberal,"public relations, advertising",7230,26.43,,
1943,Newfoundland and Labrador,ST. JOHN'S WEST,Moses L. INGRAM New Democratic Party,clerical worker,1668,6.1,,
1943,Newfoundland and Labrador,ST. JOHN'S WEST,Hugh J. SHEA No affiliation to a recognised party,grocer,1637,5.98,,
1943,Northwest Territories,NORTHWEST TERRITORIES,Wally FIRTH New Democratic Party,commercial pilot,5597,39.82,,
1943,Northwest Territories,NORTHWEST TERRITORIES,Bob WARD Progressive Conservative,businessman,4339,30.87,,
1943,Northwest Territories,NORTHWEST TERRITORIES,Dick HILL Liberal,businessman,4121,29.32,,
1943,Nova Scotia,ANNAPOLIS VALLEY,Pat NOWLAN Progressive Conservative,lawyer,20962,58.47,,
1943,Nova Scotia,ANNAPOLIS VALLEY,Tom CALKIN Liberal,management consultant,12800,35.71,,
1943,Nova Scotia,ANNAPOLIS VALLEY,Virginia PICKETT New Democratic Party,housewife,1788,4.99,,
1943,Nova Scotia,ANNAPOLIS VALLEY,W. Lincoln HATT Social Credit Party of Canada,farmer,299,0.83,,
1943,Nova Scotia,CAPE BRETON HIGHLANDS--CANSO,Allan Joseph MACEACHEN Liberal,"president, Privy Council",16929,50.81,,
1943,Nova Scotia,CAPE BRETON HIGHLANDS--CANSO,Angus MACISAAC Progressive Conservative,school teacher,14463,43.41,,
1943,Nova Scotia,CAPE BRETON HIGHLANDS--CANSO,Robert SCHWAB New Democratic Party,professor,1929,5.79,,
1943,Nova Scotia,CAPE BRETON--EAST RICHMOND,Donald MACINNIS Progressive Conservative,mine worker,12071,38.69,,
1943,Nova Scotia,CAPE BRETON--EAST RICHMOND,John Jake CURRIE New Democratic Party,steelworker,10064,32.26,,
1943,Nova Scotia,CAPE BRETON--EAST RICHMOND,William M. ROACH Liberal,clergyman,9066,29.06,,
1943,Nova Scotia,CAPE BRETON--THE SYDNEYS,Robert MUIR Progressive Conservative,salesman,15394,47.75,,
1943,Nova Scotia,CAPE BRETON--THE SYDNEYS,Mark JOHNSTONE Liberal,teacher,9529,29.56,,
1943,Nova Scotia,CAPE BRETON--THE SYDNEYS,Bill MOZVIK New Democratic Party,steelworker,7314,22.69,,
1943,Nova Scotia,CENTRAL NOVA,Elmer M. MACKAY Progressive Conservative,barrister,18259,56.95,,
1943,Nova Scotia,CENTRAL NOVA,D. Laurence MAWHINNEY Liberal,clergyman,9288,28.97,,
1943,Nova Scotia,CENTRAL NOVA,John Rod BROWN New Democratic Party,construction worker,4117,12.84,,
1943,Nova Scotia,CENTRAL NOVA,John J. HENDERSON Social Credit Party of Canada,teacher,397,1.24,,
1943,Nova Scotia,CUMBERLAND--COLCHESTER NORTH,Robert C. COATES Progressive Conservative,lawyer,19455,58.08,,
1943,Nova Scotia,CUMBERLAND--COLCHESTER NORTH,R.M. Dick VAN SNICK Liberal,insurance executive,10163,30.34,,
1943,Nova Scotia,CUMBERLAND--COLCHESTER NORTH,Allan McLean MARCHBANK New Democratic Party,farmer,3635,10.85,,
1943,Nova Scotia,CUMBERLAND--COLCHESTER NORTH,Robert KIRK No affiliation to a recognised party,semi-retired,245,0.73,,
1943,Nova Scotia,DARTMOUTH--HALIFAX EAST,Mike FORRESTALL Progressive Conservative,businessman,24553,57.48,,
1943,Nova Scotia,DARTMOUTH--HALIFAX EAST,John P. SAVAGE Liberal,physician,13543,31.71,,
1943,Nova Scotia,DARTMOUTH--HALIFAX EAST,Norman Harris DARES New Democratic Party,unemployed,4358,10.2,,
1943,Nova Scotia,DARTMOUTH--HALIFAX EAST,Brian PITCAIRN Social Credit Party of Canada,college student,261,0.61,,
1943,Nova Scotia,HALIFAX,Robert Lorne STANFIELD Progressive Conservative,barrister,17966,56.04,,
1943,Nova Scotia,HALIFAX,Terry MCGRATH Liberal,economist,10039,31.31,,
1943,Nova Scotia,HALIFAX,Marty DOLIN New Democratic Party,executive director for family services,3936,12.28,,
1943,Nova Scotia,HALIFAX,Tony SEED No affiliation to a recognised party,machine operator,121,0.38,,
1943,Nova Scotia,HALIFAX--EAST HANTS,Bob MCCLEAVE Progressive Conservative,lawyer,27645,58.06,,
1943,Nova Scotia,HALIFAX--EAST HANTS,Mary M. CASEY Liberal,barrister,14308,30.05,,
1943,Nova Scotia,HALIFAX--EAST HANTS,Donald AUBE New Democratic Party,electronics technician,5530,11.61,,
1943,Nova Scotia,HALIFAX--EAST HANTS,Barbara Joan BILEY No affiliation to a recognised party,waitress,135,0.28,,
1943,Nova Scotia,SOUTH SHORE,Lloyd R. CROUSE Progressive Conservative,business executive,18653,57.3,,
1943,Nova Scotia,SOUTH SHORE,John James KINLEY Liberal,businessman,11602,35.64,,
1943,Nova Scotia,SOUTH SHORE,Richard N. STUART New Democratic Party,acoustical carpenter,2297,7.06,,
1943,Nova Scotia,SOUTH WESTERN NOVA,Charles E. HALIBURTON Progressive Conservative,lawyer,15039,50.18,,
1943,Nova Scotia,SOUTH WESTERN NOVA,Fulton J. LOGAN Liberal,drug clerk,12471,41.61,,
1943,Nova Scotia,SOUTH WESTERN NOVA,Lawrence MEUSE New Democratic Party,salesman,2104,7.02,,
1943,Nova Scotia,SOUTH WESTERN NOVA,Charles P. PADDOCK Social Credit Party of Canada,student,359,1.2,,
1943,Ontario,ALGOMA,Maurice FOSTER Liberal,veterinarian,10160,45.89,,
1943,Ontario,ALGOMA,Dale BURLEY Progressive Conservative,high school teacher,6721,30.36,,
1943,Ontario,ALGOMA,Kelly SWEENEY New Democratic Party,director,4599,20.77,,
1943,Ontario,ALGOMA,Nil F. COTE Social Credit Party of Canada,carpenter,508,2.29,,
1943,Ontario,ALGOMA,George Washington STRAIN Independent,unemployed,150,0.68,,
1943,Ontario,BRANT,Derek BLACKBURN New Democratic Party,teacher,20002,43.07,,
1943,Ontario,BRANT,Dick MUNDY Liberal,general sales manager,14730,31.72,,
1943,Ontario,BRANT,Alex KERESTURI Progressive Conservative,farmer,11711,25.22,,
1943,Ontario,BROADVIEW,John GILBERT New Democratic Party,lawyer,11063,41.58,,
1943,Ontario,BROADVIEW,Tom CLIFFORD Progressive Conservative,merchant,7903,29.7,,
1943,Ontario,BROADVIEW,Peter MURPHY Liberal,university lecturer and secondary school teacher,7465,28.06,,
1943,Ontario,BROADVIEW,Alfred DEWHURST No affiliation to a recognised party,secretary,123,0.46,,
1943,Ontario,BROADVIEW,Ron HALL No affiliation to a recognised party,warehouseman,54,0.2,,
1943,Ontario,BRUCE,Ross WHICHER Liberal,businessman,14974,45.32,,
1943,Ontario,BRUCE,John LONEY Progressive Conservative,farmer,14297,43.27,,
1943,Ontario,BRUCE,Thomas THOMPSON New Democratic Party,business manager,3772,11.42,,
1943,Ontario,COCHRANE,Ralph W. STEWART Liberal,public servant,10405,47.05,,
1943,Ontario,COCHRANE,Bud CONSTANTINE New Democratic Party,technician,5405,24.44,,
1943,Ontario,COCHRANE,Blair BROWN Progressive Conservative,business proprietor,4626,20.92,,
1943,Ontario,COCHRANE,Emmanuel PETRIN Social Credit Party of Canada,agent,1477,6.68,,
