Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, ,
1867,Ontario,WATERLOO SOUTH,James COWAN Unknown,,958,41.98,,
1867,Ontario,WELLAND,Thomas Clark STREET Conservative,lawyer,accl.,NA,,
1867,Ontario,WELLINGTON CENTRE,Thomas Sutherland PARKER Liberal,physician,accl.,NA,,
1867,Ontario,WELLINGTON NORTH,George Alexander DREW Liberal-Conservative,lawyer,1493,54.02,,
1867,Ontario,WELLINGTON NORTH, FOLEY Unknown,journalist,1271,45.98,,
1867,Ontario,WELLINGTON SOUTH,David STIRTON Liberal,magistrate,963,59.63,,
1867,Ontario,WELLINGTON SOUTH, STONE Unknown,,652,40.37,,
1867,Ontario,WENTWORTH NORTH,James MCMONIES Liberal,"merchant, sawmiller",1154,51.36,,
1867,Ontario,WENTWORTH NORTH, BROWN Unknown,,1093,48.64,,
1867,Ontario,WENTWORTH SOUTH,Joseph RYMAL Liberal,farmer,1015,50.67,,
1867,Ontario,WENTWORTH SOUTH, ROBERTSON Unknown,,988,49.33,,
1867,Ontario,WEST TORONTO,Robert Alexander HARRISON Conservative,lawyer,1477,58.5,,
1867,Ontario,WEST TORONTO, MACDONALD Independent Liberal,businessman,1048,41.5,,
1867,Ontario,YORK EAST,James METCALFE Liberal,builder,1174,55.61,,
1867,Ontario,YORK EAST, MILNE Unknown,,937,44.39,,
1867,Ontario,YORK NORTH,James Pearson WELLS Liberal,farmer,accl.,NA,,
1867,Ontario,YORK WEST,"Hon. William Pierce, HOWLAND Liberal-Conservative",businessman,810,73.17,,
1867,Ontario,YORK WEST, HUBERTUS Unknown,,297,26.83,,
1867,Ontario,YORK WEST, BLAIN Unknown,,0,0,,
1867,Quebec,ARGENTEUIL,Hon. John Joseph Cal ABBOTT Liberal-Conservative,lawyer,693,53.8,,
