Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, 
2015,Alberta,Calgary Midnapore,Brennan Wauters Green Party/Parti Vert,Electrician/Électricien,1691,2.7,
2015,Alberta,Calgary Midnapore,Peggy Askin Marxist-Leninist/Marxiste-Léniniste,Retired Telecommunications Worker/Travailleuse en télécommunications à la retraite,145,0.2,
2015,Alberta,Calgary Nose Hill,Michelle Rempel ** Conservative/Conservateur,Parliamentarian/Parlementaire,32760,60,
2015,Alberta,Calgary Nose Hill,Robert Prcic Liberal/Libéral,Mechanic/Mécanicien,14671,26.9,
2015,Alberta,Calgary Nose Hill,Bruce Kaufman NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Teacher/Enseignant,4836,8.9,
2015,Alberta,Calgary Nose Hill,Laurie Scheer Green Party/Parti Vert,Geomatics Engineer/Ingénieur en géomatique,1384,2.5,
2015,Alberta,Calgary Nose Hill,Edward Gao Libertarian/Libertarien,Engineer/Ingénieur,727,1.3,
2015,Alberta,Calgary Nose Hill,Faizan Butt Democratic Advancement/Avancement de la Démocratie,Student/Étudiant,184,0.3,
2015,Alberta,Calgary Rocky Ridge,Pat Kelly Conservative/Conservateur,Businessman/Homme d'affaires,38229,60.4,
2015,Alberta,Calgary Rocky Ridge,Nirmala Naidoo Liberal/Libéral,Television Journalist/Journaliste de télévision,20038,31.7,
2015,Alberta,Calgary Rocky Ridge,Stephanie Kot NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Community Organizer/Organisatrice communautaire,3665,5.8,
2015,Alberta,Calgary Rocky Ridge,Catriona Wright Green Party/Parti Vert,Stay-at-home mom/Mère de famille,1360,2.1,
2015,Alberta,Calgary Shepard,Tom Kmiec Conservative/Conservateur,Researcher/Chercheur,43706,65.9,
2015,Alberta,Calgary Shepard,Jerome James Liberal/Libéral,Engineer/Ingénieur,16379,24.7,
2015,Alberta,Calgary Shepard,Dany Allard NDP-New Democratic Party/NPD-Nouveau Parti démocratique,IT Advisor/Conseiller de la technologie de l'information,4532,6.8,
2015,Alberta,Calgary Shepard,Graham MacKenzie Green Party/Parti Vert,Teacher/Enseignant,1734,2.6,
2015,Alberta,Calgary Signal Hill,Ron Liepert Conservative/Conservateur,Consultant/Consultant,37858,60.6,
2015,Alberta,Calgary Signal Hill,Kerry Cundal Liberal/Libéral,Adjudicator/Arbitre,19108,30.6,
2015,Alberta,Calgary Signal Hill,Khalis Ahmed NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Geologist/Géologue,3128,5,
2015,Alberta,Calgary Signal Hill,Taryn Knorren Green Party/Parti Vert,Marketing director/Directrice du marketing,1586,2.5,
2015,Alberta,Calgary Signal Hill,Tim Moen Libertarian/Libertarien,Firefighter / paramedic/Pompier / paramédicale,679,1.1,
2015,Alberta,Calgary Signal Hill,Jesse Rau Christian Heritage Party/Parti de l'Héritage Chrétien,Unemployed/Sans emploi,160,0.3,
2015,Alberta,Calgary Skyview,Darshan Singh Kang Liberal/Libéral,Public Service/Fonctionnaire,20644,45.9,
2015,Alberta,Calgary Skyview,Devinder Shory ** Conservative/Conservateur,Parliamentarian/Parlementaire,17885,39.8,
2015,Alberta,Calgary Skyview,Sahajvir Singh NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Real estate / land developer/Immobilier / développeur,3605,8,
2015,Alberta,Calgary Skyview,Najeeb Butt PC Party/Parti PC,Real Estate Associate/Agent immobilier,957,2.1,
2015,Alberta,Calgary Skyview,Ed Reddy Green Party/Parti Vert,"IT Manager/Gestionnaire, TI",846,1.9,
2015,Alberta,Calgary Skyview,Stephen Garvey Democratic Advancement/Avancement de la Démocratie,Director of NGO/Directeur de l'ONG,786,1.7,
2015,Alberta,Calgary Skyview,Joseph Young Independent/Indépendant,Retail Worker/Commis-vendeur,182,0.4,
2015,Alberta,Calgary Skyview,Daniel Blanchard Marxist-Leninist/Marxiste-Léniniste,Student/Étudiant,88,0.2,
2015,Alberta,Edmonton Centre/Edmonton-Centre,Randy Boissonnault Liberal/Libéral,Management Consultant/Consultant en gestion,19902,37.2,
2015,Alberta,Edmonton Centre/Edmonton-Centre,James Cumming Conservative/Conservateur,Entrepreneur/Entrepreneur,18703,35,
2015,Alberta,Edmonton Centre/Edmonton-Centre,Gil McGowan NDP-New Democratic Party/NPD-Nouveau Parti démocratique,"President, Alberta Federation of Labour/Président, Alberta Federation of Labour",13084,24.5,
2015,Alberta,Edmonton Centre/Edmonton-Centre,David Parker Green Party/Parti Vert,Retired professional engineer/Ingénieur retraité,1403,2.6,
2015,Alberta,Edmonton Centre/Edmonton-Centre,Steven Stauffer Rhinoceros/Rhinocéros,Wildfire Fighter/Pompier forestier,257,0.5,
2015,Alberta,Edmonton Centre/Edmonton-Centre,Kat Yaki Independent/Indépendant,Homemaker/Maîtresse de maison,163,0.3,
2015,Alberta,Edmonton Griesbach,Kerry Diotte Conservative/Conservateur,Communications consultant/Consultant en communications,19157,40,
2015,Alberta,Edmonton Griesbach,Janis Irwin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Curriculum Manager/Gestionnaire de programme,16309,34,
2015,Alberta,Edmonton Griesbach,Brian Gold Liberal/Libéral,Business Consultant/Conseiller en affaires,10397,21.7,
2015,Alberta,Edmonton Griesbach,Heather Workman Green Party/Parti Vert,Artist/Artiste,1129,2.4,
2015,Alberta,Edmonton Griesbach,Maryna Goncharenko Libertarian/Libertarien,"Procurement Supervisor/Superviseure, approvisionnement",415,0.9,
2015,Alberta,Edmonton Griesbach,Linda Northcott Radical Marijuana/Radical Marijuana,Disabled/Handicapée,279,0.6,
2015,Alberta,Edmonton Griesbach,Bun Bun Thompson Rhinoceros/Rhinocéros,Teacher/Enseignant,144,0.3,
2015,Alberta,Edmonton Griesbach,Mary Joyce Marxist-Leninist/Marxiste-Léniniste,Artist/Artiste,112,0.2,
2015,Alberta,Edmonton Manning,Ziad Aboultaif Conservative/Conservateur,Business Owner / Self-employed/Propriétaire d'enterprise /Travailleur indépendant,22166,45.2,
2015,Alberta,Edmonton Manning,Sukhdev Aujla Liberal/Libéral,Retired/Retraité,13509,27.6,
2015,Alberta,Edmonton Manning,Aaron Paquette NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Artist/Artiste,11582,23.6,
2015,Alberta,Edmonton Manning,Chris Vallee Green Party/Parti Vert,Electrician/Électricien,1079,2.2,
2015,Alberta,Edmonton Manning,Mebreate Deres Independent/Indépendant,Nursing Aide and Social Worker/Aide-infirmière et intervenante sociale,540,1.1,
2015,Alberta,Edmonton Manning,André Vachon Marxist-Leninist/Marxiste-Léniniste,Construction Worker/Travailleur de la construction,125,0.3,
2015,Alberta,Edmonton Mill Woods,Amarjeet Sohi Liberal/Libéral,City Councillor/Conseiller municipal,20423,41.2,
2015,Alberta,Edmonton Mill Woods,Tim Uppal ** Conservative/Conservateur,Parliamentarian/Parlementaire,20331,41.1,
2015,Alberta,Edmonton Mill Woods,Jasvir Deol NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Insurance Broker/Courtier d'assurances,6330,12.8,
2015,Alberta,Edmonton Mill Woods,Ralph McLean Green Party/Parti Vert,Health and Safety Advisor/Conseiller en santé et sécurité,1096,2.2,
2015,Alberta,Edmonton Mill Woods,Colin Stubbs Independent/Indépendant,Carpenter/Charpentier,560,1.1,
2015,Alberta,Edmonton Mill Woods,Allen K.W. Paley Libertarian/Libertarien,Petro-technical specialist/Spécialiste de Petro-technique,396,0.8,
2015,Alberta,Edmonton Mill Woods,Peter Downing Christian Heritage Party/Parti de l'Héritage Chrétien,Financial Representative/Conseilleur financier,285,0.6,
2015,Alberta,Edmonton Mill Woods,Naomi Rankin Communist/Communiste,Computer programmer/Programmeuse,96,0.2,
2015,Alberta,Edmonton Riverbend,Matt Jeneroux Conservative/Conservateur,Public Servant/Fonctionnaire,28805,49.9,
2015,Alberta,Edmonton Riverbend,Tariq Chaudary Liberal/Libéral,System Analyst (IT)/Analyste de système (TI),17428,30.2,
2015,Alberta,Edmonton Riverbend,Brian Fleck NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Professor/Professeur,9846,17.1,
2015,Alberta,Edmonton Riverbend,Valerie Kennedy Green Party/Parti Vert,Sessional Instructor/Chargée de cours à temps partiel,1275,2.2,
2015,Alberta,Edmonton Riverbend,Steven Lack Libertarian/Libertarien,Student/Étudiant,386,0.7,
2015,Alberta,Edmonton Strathcona,Linda Duncan ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Parliamentarian/Parlementaire,24446,44,
2015,Alberta,Edmonton Strathcona,Len Thom Conservative/Conservateur,Lawyer/Avocat,17395,31.3,
2015,Alberta,Edmonton Strathcona,Eleanor Olszewski Liberal/Libéral,Lawyer/Avocate,11524,20.7,
2015,Alberta,Edmonton Strathcona,Jacob K. Binnema Green Party/Parti Vert,Student/Étudiant,1278,2.3,
2015,Alberta,Edmonton Strathcona,Malcolm Stinson Libertarian/Libertarien,Business owner/Propriétaire d'entreprise,311,0.6,
2015,Alberta,Edmonton Strathcona,Ryan Bromsgrove Pirate/Pirate,Advertising/Publicité,201,0.4,
2015,Alberta,Edmonton Strathcona,Donovan Eckstrom Rhinoceros/Rhinocéros,Warehouse Worker/Travailleur d'entrepôt,133,0.2,
2015,Alberta,Edmonton Strathcona,Chris Jones Independent/Indépendant,Engineer/Ingénieur,116,0.2,
2015,Alberta,Edmonton Strathcona,Andrew Schurman Independent/Indépendant,Hospitality management/Gestion de l'hospitalité,107,0.2,
2015,Alberta,Edmonton Strathcona,Dougal MacDonald Marxist-Leninist/Marxiste-Léniniste,Instructor/Chargé de cours,93,0.2,
2015,Alberta,Edmonton West/Edmonton-Ouest,Kelly McCauley Conservative/Conservateur,Hotel Manager/Gérant d'hôtel,26370,49.3,
2015,Alberta,Edmonton West/Edmonton-Ouest,Karen Leibovici Liberal/Libéral,Manager/Administratrice,18649,34.9,
2015,Alberta,Edmonton West/Edmonton-Ouest,Heather MacKenzie NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Community Organizer/Organisatrice communautaire,6955,13,
2015,Alberta,Edmonton West/Edmonton-Ouest,Pamela Leslie Bryan Green Party/Parti Vert,Business Person/Femme d'affaires,1037,1.9,
2015,Alberta,Edmonton West/Edmonton-Ouest,Alexander Dussault Libertarian/Libertarien,Retail Management/Gestion commerce de détail,341,0.6,
2015,Alberta,Edmonton West/Edmonton-Ouest,Peggy Morton Marxist-Leninist/Marxiste-Léniniste,Journalist/Journaliste,105,0.2,
2015,Alberta,Edmonton--Wetaskiwin,Mike Lake ** Conservative/Conservateur,Parliamentarian/Parlementaire,44949,65.8,
2015,Alberta,Edmonton--Wetaskiwin,Jacqueline Biollo Liberal/Libéral,Consultant/Consultante,14660,21.5,
2015,Alberta,Edmonton--Wetaskiwin,Fritz K. Bitz NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Social Worker/Travailleuse sociale,6645,9.7,
2015,Alberta,Edmonton--Wetaskiwin,Joy-Ann Hut Green Party/Parti Vert,Owner / Operator/Propriétaire / exploitante,1595,2.3,
2015,Alberta,Edmonton--Wetaskiwin,Brayden Whitlock Libertarian/Libertarien,Student/Étudiant,495,0.7,
2015,Alberta,Foothills,John Barlow ** Conservative/Conservateur,Parliamentarian/Parlementaire,46166,75.7,
2015,Alberta,Foothills,Tanya MacPherson Liberal/Libéral,Unlicenced associate broker/Courtier associée non immatriculé,8149,13.4,
2015,Alberta,Foothills,Alison Thompson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Engineer/Ingénieure ,3919,6.4,
2015,Alberta,Foothills,Romy S. Tittel Green Party/Parti Vert,VP Finance/Vice-président aux finances,1983,3.3,
2015,Alberta,Foothills,Cory Morgan Libertarian/Libertarien,Restaurant Owner/Propriétaire de restaurant,424,0.7,
2015,Alberta,Foothills,Marc Slingerland Christian Heritage Party/Parti de l'Héritage Chrétien,Teacher/Enseignant ,345,0.6,
2015,Alberta,Fort McMurray--Cold Lake,David Yurdiga ** Conservative/Conservateur,Parliamentarian/Parlementaire,28625,60.6,
2015,Alberta,Fort McMurray--Cold Lake,Kyle Harrietha Liberal/Libéral,Administrator/Administrateur,13403,28.4,
2015,Alberta,Fort McMurray--Cold Lake,Melody Lepine NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Director/Directeur,3663,7.7,
2015,Alberta,Fort McMurray--Cold Lake,Brian Deheer Green Party/Parti Vert,Music Instructor/Professeur de musique,743,1.6,
2015,Alberta,Fort McMurray--Cold Lake,Scott Berry Libertarian/Libertarien,Asphalt Lab Technician/Technicien de laboratoire de bitume,552,1.2,
2015,Alberta,Fort McMurray--Cold Lake,Roelof Janssen Christian Heritage Party/Parti de l'Héritage Chrétien,Book Publisher/Editeur de livres,280,0.6,
2015,Alberta,Grande Prairie--Mackenzie,Chris Warkentin ** Conservative/Conservateur,Parliamentarian/Parlementaire,38895,72.9,
2015,Alberta,Grande Prairie--Mackenzie,Reagan Johnston Liberal/Libéral,Automotive Sales Representative/Représentant des ventes d'automobiles,7819,14.7,
2015,Alberta,Grande Prairie--Mackenzie,Saba Mossagizi NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Union Organizer/Organisatrice syndicale,4343,8.1,
2015,Alberta,Grande Prairie--Mackenzie,James David Friesen Green Party/Parti Vert,Cleaner/Concierge,1673,3.1,
2015,Alberta,Grande Prairie--Mackenzie,Dylan Thompson Libertarian/Libertarien,Retail/Commerce de détail,613,1.1,
2015,Alberta,Lakeland,Shannon Stubbs Conservative/Conservateur,Consultant/Consultant,39882,72.8,
2015,Alberta,Lakeland,Garry Parenteau Liberal/Libéral,"Director Oil & Gas, Fishing Lake Metis/Directeur, huite et gaz, Fishing Lake Metis ",7500,13.7,
2015,Alberta,Lakeland,Duane Zaraska NDP-New Democratic Party/NPD-Nouveau Parti démocratique,"Vice President Region II of the Metis Nation of AB/Vice-président région II, de la Métis Nation of AB",5513,10.1,
2015,Alberta,Lakeland,Danielle Montgomery Green Party/Parti Vert,Farm Manager/Gestionnaire de ferme,1283,2.3,
2015,Alberta,Lakeland,Robert George McFadzean Libertarian/Libertarien,Retired/Retraité,601,1.1,
2015,Alberta,Lethbridge,Rachael Harder Conservative/Conservateur,Consultant/Consultante,32321,56.8,
2015,Alberta,Lethbridge,Cheryl Meheden NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Professor/Professeure,11674,20.5,
2015,Alberta,Lethbridge,Mike Pyne Liberal/Libéral,"Safety, Compliance & HR Officer/Agent de sécurité, conformite et RH",10532,18.5,
2015,Alberta,Lethbridge,Kas MacMillan Green Party/Parti Vert,Student/Étudiant,1461,2.6,
2015,Alberta,Lethbridge,Geoffrey Capp Christian Heritage Party/Parti de l'Héritage Chrétien,Office Administrator/Administrateur de bureau,746,1.3,
2015,Alberta,Lethbridge,Solly Krygier-Paine Rhinoceros/Rhinocéros,Student/Étudiant,209,0.4,
2015,Alberta,Medicine Hat--Cardston--Warner,Jim Hillyer ** Conservative/Conservateur,Parliamentarian/Parlementaire,34849,68.8,
2015,Alberta,Medicine Hat--Cardston--Warner,Glen Allan Liberal/Libéral,College Instructor/Formateur au niveau collégial,9085,17.9,
2015,Alberta,Medicine Hat--Cardston--Warner,Erin Weir NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Registered Nurse/Infirmière autorisée,4897,9.7,
2015,Alberta,Medicine Hat--Cardston--Warner,Brent Smith Green Party/Parti Vert,College Instructor/Formateur au niveau collégial,1319,2.6,
2015,Alberta,Medicine Hat--Cardston--Warner,John Clayton Turner Independent/Indépendant,Travel Consultant/Conseiller en voyages,500,1,
2015,Alberta,Peace River--Westlock,Arnold Viersen Conservative/Conservateur,Automotive Service Technician/Travailleur de l‘automobile,34342,69.4,
2015,Alberta,Peace River--Westlock,Cameron Alexis NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Semi-retired / Consultant/Semi-retraité / consultant ,7127,14.4,
2015,Alberta,Peace River--Westlock,Chris Brown Liberal/Libéral,Communications/Communications,6360,12.8,
2015,Alberta,Peace River--Westlock,Sabrina Lee Levac Green Party/Parti Vert,Nurse/Infirmière,1247,2.5,
2015,Alberta,Peace River--Westlock,Jeremy Sergeew Libertarian/Libertarien,Manager/Gérant,443,0.9,
2015,Alberta,Red Deer--Lacombe,Blaine Calkins ** Conservative/Conservateur,Parliamentarian/Parlementaire,43599,70.7,
2015,Alberta,Red Deer--Lacombe,Jeff Rock Liberal/Libéral,United Church Minister/Ministre de l'Église Unie,9235,15,
2015,Alberta,Red Deer--Lacombe,Doug Hart NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Registered Nurse/Infirmier autorisé,7055,11.4,
2015,Alberta,Red Deer--Lacombe,Les Kuzyk Green Party/Parti Vert,Planning Analyst/Analyste de la planification,1773,2.9,
2015,Alberta,Red Deer--Mountain View,Earl Dreeshen ** Conservative/Conservateur,Parliamentarian/Parlementaire,46245,74.3,
2015,Alberta,Red Deer--Mountain View,Chandra Lescia Kastern Liberal/Libéral,Massage Therapist/Administrator/Massothérapeute/Administratice,8356,13.4,
2015,Alberta,Red Deer--Mountain View,Paul Harris NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Business Owner/Propriétaire d'entreprise,5233,8.4,
2015,Alberta,Red Deer--Mountain View,Simon Oleny Green Party/Parti Vert,Coordinator/Administrator/Coordinateur/administrateur,1621,2.6,
2015,Alberta,Red Deer--Mountain View,James Walper Libertarian/Libertarien,Oilfield Worker/Travailleur de champs pétrolifères,445,0.7,
2015,Alberta,Red Deer--Mountain View,Scott Milne Pirate/Pirate,Student/Étudiant,312,0.5,
2015,Alberta,St. Albert--Edmonton,Michael Cooper Conservative/Conservateur,Lawyer/Avocat,26783,45.2,
2015,Alberta,St. Albert--Edmonton,Beatrice Ghettuba Liberal/Libéral,Chartered Professional Accountant/Comptable professionnel agréée,13343,22.5,
2015,Alberta,St. Albert--Edmonton,Brent Rathgeber ** Independent/Indépendant,Parliamentarian/Parlementaire,11652,19.7,
2015,Alberta,St. Albert--Edmonton,Darlene Malayko NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Transit Operator/Opératrice de véhicule de transport en commun,6609,11.2,
2015,Alberta,St. Albert--Edmonton,Andrea Oldham Green Party/Parti Vert,Organizer/Organisatrice,821,1.4,
2015,Alberta,Sherwood Park--Fort Saskatchewan,Garnett Genuis Conservative/Conservateur,Self-Employed / Consulting/Travailleur indépendent / Consultant,42642,63.9,
2015,Alberta,Sherwood Park--Fort Saskatchewan,Rod Frank Liberal/Libéral,Lawyer/Avocat,13615,20.4,
2015,Alberta,Sherwood Park--Fort Saskatchewan,Joanne Cave NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Public Servant/Fonctionnaire,6540,9.8,
2015,Alberta,Sherwood Park--Fort Saskatchewan,Brandie Harrop Green Party/Parti Vert,Homemaker / Activist/Maître de maison / Activiste,1648,2.5,
2015,Alberta,Sherwood Park--Fort Saskatchewan,James Ford Independent/Indépendant,"Editor, Publisher/Rédacteur, editeur",1563,2.3,
2015,Alberta,Sherwood Park--Fort Saskatchewan,Stephen C. Burry Libertarian/Libertarien,Project Lead - Management/Chef de projet - Gestion,678,1,
2015,Alberta,Sturgeon River--Parkland,Rona Ambrose ** Conservative/Conservateur,Parliamentarian/Parlementaire,43220,70.2,
2015,Alberta,Sturgeon River--Parkland,Travis Dueck Liberal/Libéral,Student/Étudiant,9586,15.6,
2015,Alberta,Sturgeon River--Parkland,Guy Desforges NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Factory Worker/Ouvrier d'usine,6166,10,
2015,Alberta,Sturgeon River--Parkland,Brendon Greene Green Party/Parti Vert,Music Teacher/Professeur de musique,1875,3,
2015,Alberta,Sturgeon River--Parkland,Ernest Chauvet Christian Heritage Party/Parti de l'Héritage Chrétien,Self-employed/Travailleur indépendant,690,1.1,
2015,Alberta,Yellowhead,Jim Eglinski ** Conservative/Conservateur,Parliamentarian/Parlementaire,37950,72.3,
2015,Alberta,Yellowhead,Ryan Maguhn Liberal/Libéral,Teacher/Town Councillor/Enseignant/Conseiller municipal,7467,14.2,
2015,Alberta,Yellowhead,Ken Kuzminski NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Carpenter/Charpentier,4753,9,
2015,Alberta,Yellowhead,Sandra Wolf Lange Green Party/Parti Vert,Designer/Conceptrice,1538,2.9,
2015,Alberta,Yellowhead,Cory Lystang Libertarian/Libertarien,Pressure Truck Operator/Opérateur de camion à pression,817,1.6,
2015,British Columbia/Colombie-Britannique,Abbotsford,Ed Fast ** Conservative/Conservateur,Parliamentarian/Parlementaire,23229,48.3,
2015,British Columbia/Colombie-Britannique,Abbotsford,Peter Njenga Liberal/Libéral,Accountant/Comptable,15777,32.8,
2015,British Columbia/Colombie-Britannique,Abbotsford,Jen Martel NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Professional Lifeguard and First Aid Instructor/Surveillante-Sauvetrice / Animateur,6593,13.7,
2015,British Columbia/Colombie-Britannique,Abbotsford,Stephen Fowler Green Party/Parti Vert,High School Teacher/Enseignant au niveau secondaire,2416,5,
2015,British Columbia/Colombie-Britannique,Abbotsford,David MacKay Marxist-Leninist/Marxiste-Léniniste,Retired Postal Worker/Employé des postes retraité ,109,0.2,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Terry Beech Liberal/Libéral,Entrepreneur / Adjunct Professor/Entrepreneur / Professeur auxiliaire,18938,36.1,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Carol Baird Ellan NDP-New Democratic Party/NPD-Nouveau Parti démocratique,"Lawyer, Retired/Avocate, Retraitée",15537,29.6,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Mike Little Conservative/Conservateur,Businessman/Homme d'affaires,14612,27.8,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Lynne Quarmby Green Party/Parti Vert,University Professor/Professeure d'université,2765,5.3,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Chris Tylor Libertarian/Libertarien,Electrical Technologist/Technologue en électricité,252,0.5,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Helen Hee Soon Chang Independent/Indépendant,Researcher/Chercheuse,207,0.4,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Brent Jantzen Communist/Communiste,Longshore Worker/Débardeur,126,0.2,
2015,British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,Brian Sproule Marxist-Leninist/Marxiste-Léniniste,Retired health care worker/Retraité travailleur de la santé,43,0.1,
2015,British Columbia/Colombie-Britannique,Burnaby South/Burnaby-Sud,Kennedy Stewart ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Parliamentarian/Parlementaire,16094,35.1,
2015,British Columbia/Colombie-Britannique,Burnaby South/Burnaby-Sud,Adam Pankratz Liberal/Libéral,Banker/Banquier,15547,33.9,
2015,British Columbia/Colombie-Britannique,Burnaby South/Burnaby-Sud,Grace Seear Conservative/Conservateur,Political Staff/Personnel ministériel,12441,27.1,
2015,British Columbia/Colombie-Britannique,Burnaby South/Burnaby-Sud,Wyatt Tessari Green Party/Parti Vert,Engineer/Ingénieur,1306,2.8,
2015,British Columbia/Colombie-Britannique,Burnaby South/Burnaby-Sud,Liz Jaluague Libertarian/Libertarien,Student/Étudiante,499,1.1,
2015,British Columbia/Colombie-Britannique,Cariboo--Prince George,Todd Doherty Conservative/Conservateur,Aviation Consultant/consultant en aéronautique,19688,36.6,
2015,British Columbia/Colombie-Britannique,Cariboo--Prince George,Tracy Calogheros Liberal/Libéral,Chief Executive Officer/Directrice générale,16921,31.5,
2015,British Columbia/Colombie-Britannique,Cariboo--Prince George,Trent Derrick NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Business Owner/Propriétaire d'entreprise,13879,25.8,
2015,British Columbia/Colombie-Britannique,Cariboo--Prince George,Richard Edward Jaques Green Party/Parti Vert,Instructor/Animateur,1860,3.5,
2015,British Columbia/Colombie-Britannique,Cariboo--Prince George,Sheldon Clare Independent/Indépendant,College Instructor/Formateur au niveau collégial,657,1.2,
2015,British Columbia/Colombie-Britannique,Cariboo--Prince George,Gordon Campbell No Affiliation/Aucune appartenance,Retired/Retraité,402,0.7,
2015,British Columbia/Colombie-Britannique,Cariboo--Prince George,Adam De Kroon Christian Heritage Party/Parti de l'Héritage Chrétien,Mill Hand/Ouvrier au boyeur,327,0.6,
2015,British Columbia/Colombie-Britannique,Central Okanagan--Similkameen--Nicola,Dan Albas ** Conservative/Conservateur,Parliamentarian/Parlementaire,24517,39.6,
2015,British Columbia/Colombie-Britannique,Central Okanagan--Similkameen--Nicola,Karley Scott Liberal/Libéral,Lawyer/Avocate,23059,37.2,
2015,British Columbia/Colombie-Britannique,Central Okanagan--Similkameen--Nicola,Angelique Wood NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Coordinator Okanagan-Similkameen HLC/Coordinatrice Okanagan-Similkameen HLC,11961,19.3,
2015,British Columbia/Colombie-Britannique,Central Okanagan--Similkameen--Nicola,Robert Mellalieu Green Party/Parti Vert,Computer Technician/Technicien en informatique,2436,3.9,
2015,British Columbia/Colombie-Britannique,Chilliwack--Hope,Mark Strahl ** Conservative/Conservateur,Parliamentarian/Parlementaire,21445,42.3,
2015,British Columbia/Colombie-Britannique,Chilliwack--Hope,Louis De Jaeger Liberal/Libéral,Self-employed/Restaurant owner/Travailleur indépendant/Propriétaire de restaurant,17114,33.8,
2015,British Columbia/Colombie-Britannique,Chilliwack--Hope,Seonaigh MacPherson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Professor/Professeure,9218,18.2,
2015,British Columbia/Colombie-Britannique,Chilliwack--Hope,Thomas Cheney Green Party/Parti Vert,Customer Service Representative/Représentant des services à clientèle,2386,4.7,
2015,British Columbia/Colombie-Britannique,Chilliwack--Hope,Alexander Johnson Libertarian/Libertarien,Artist/Artiste,416,0.8,
2015,British Columbia/Colombie-Britannique,Chilliwack--Hope,Dorothy-Jean O'Donnell Marxist-Leninist/Marxiste-Léniniste,Lawyer/Avocate,82,0.2,
2015,British Columbia/Colombie-Britannique,Cloverdale--Langley City,John Aldag Liberal/Libéral,Manager - Parks Canada/Gestionnaire - Parcs Canada,24617,45.5,
2015,British Columbia/Colombie-Britannique,Cloverdale--Langley City,Dean Drysdale Conservative/Conservateur,Entrepreneur / Business Professor/Entrepreneur / Professeur de gestion des affaires,18800,34.8,
2015,British Columbia/Colombie-Britannique,Cloverdale--Langley City,Rebecca Smith NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Consultant/Consultante,8463,15.7,
2015,British Columbia/Colombie-Britannique,Cloverdale--Langley City,Scott Anderson Green Party/Parti Vert,Developer/Developpeur,2195,4.1,
2015,British Columbia/Colombie-Britannique,Coquitlam--Port Coquitlam,Ron McKinnon Liberal/Libéral,Systems Analyst/Analyste de systèmes,19938,35.3,
2015,British Columbia/Colombie-Britannique,Coquitlam--Port Coquitlam,Douglas Horne Conservative/Conservateur,Politician/Politicien,18083,32,
2015,British Columbia/Colombie-Britannique,Coquitlam--Port Coquitlam,Sara Norman NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Journalist/Journaliste,15400,27.3,
2015,British Columbia/Colombie-Britannique,Coquitlam--Port Coquitlam,Brad Nickason Green Party/Parti Vert,Graphic Designer/Concepteur graphique,2076,3.7,
